"house_id","listing","property_type","city","zone","area","latitude","longitude","plot_area","built_up_area","bedrooms","balconies","bathrooms","total_floors","X1bhk","X2bhk","X3bhk","parking","price","availability","transaction_type","on_loan","negotiable","water_source","site_facing","door_facing","flooring_type","furnishing","year_of_construction","score_neighborhood"
50,"sell","apartment","bangalore","East Bangalore","whitefield",12.97693276,77.7365378,1650,1577,"3","1","2","NA","NA","NA","NA","covered",8601818.182,"ready_to_move","resale","no","yes","both","south","south","marble","semi",2007,1.428571429
51,"sell","apartment","bangalore","East Bangalore","whitefield",12.95653761,77.75499608,500,424,"1","1","1","NA","NA","NA","NA","covered",2312727.273,"ready_to_move","resale","yes","yes","both","south","north","vitrified_tiles","semi",2008,0
52,"sell","apartment","bangalore","East Bangalore","whitefield",12.94689265,77.72523386,1100,1023,"2","2","1","NA","NA","NA","NA","covered",5580000,"ready_to_move","resale","yes","yes","both","north","east","vitrified_tiles","semi",2012,0
53,"sell","apartment","bangalore","East Bangalore","whitefield",12.97331454,77.71449789,550,492,"1","1","1","NA","NA","NA","NA","covered",2683636.364,"ready_to_move","new","yes","yes","both","east","east","vitrified_tiles","semi",2012,5
54,"sell","apartment","bangalore","East Bangalore","whitefield",12.97040365,77.74296454,500,423,"1","1","1","NA","NA","NA","NA","covered",2307272.727,"ready_to_move","resale","yes","yes","both","west","south","vitrified_tiles","semi",2009,2.857142857
55,"sell","independent_house","bangalore","East Bangalore","whitefield",12.96245723,77.74498405,1200,3000,"NA","NA","NA","3","1","2","0","covered",12500000,"ready_to_move","resale","yes","yes","both","east","south","vitrified_tiles","semi",2007,4.285714286
56,"sell","independent_house","bangalore","East Bangalore","whitefield",12.95904816,77.7404837,1000,2500,"NA","NA","NA","2","0","1","1","open",10416666.67,"ready_to_move","resale","yes","yes","both","north","east","vitrified_tiles","semi",2012,6.428571429
57,"sell","independent_house","bangalore","East Bangalore","whitefield",12.9579878,77.73385255,1100,3850,"NA","NA","NA","4","1","3","0","covered",16041666.67,"ready_to_move","resale","yes","yes","both","east","north","vitrified_tiles","semi",2012,5
58,"sell","independent_house","bangalore","East Bangalore","whitefield",12.96925435,77.71557104,1000,2500,"NA","NA","NA","3","1","2","0","covered",10416666.67,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2008,6.428571429
59,"sell","independent_house","bangalore","East Bangalore","whitefield",12.96816604,77.7122231,1200,2400,"NA","NA","NA","3","2","1","0","covered",1e+07,"ready_to_move","resale","no","yes","both","east","north","marble","semi",2008,7.142857143
60,"sell","independent_house","bangalore","East Bangalore","whitefield",12.96557169,77.75336937,1200,1800,"NA","NA","NA","2","1","1","0","open",7500000,"ready_to_move","resale","yes","yes","both","north","south","vitrified_tiles","semi",2011,6.428571429
61,"sell","apartment","bangalore","East Bangalore","marathalli",12.94737004,77.71393651,1500,1433,"3","1","2","NA","NA","NA","NA","covered",10942909.09,"ready_to_move","new","yes","yes","both","south","north","vitrified_tiles","semi",2008,7.857142857
62,"sell","apartment","bangalore","East Bangalore","marathalli",12.96809473,77.71338036,600,542,"1","1","1","NA","NA","NA","NA","open",4138909.091,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2007,7.142857143
63,"sell","apartment","bangalore","East Bangalore","marathalli",12.96671268,77.71479456,1800,1744,"3","1","2","NA","NA","NA","NA","open",13317818.18,"ready_to_move","resale","no","yes","both","west","west","vitrified_tiles","semi",2012,8.571428571
64,"sell","apartment","bangalore","East Bangalore","marathalli",12.94676287,77.72544894,600,549,"1","1","1","NA","NA","NA","NA","covered",4192363.636,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2010,0
65,"sell","apartment","bangalore","East Bangalore","marathalli",12.9664805,77.73628141,1000,934,"2","2","1","NA","NA","NA","NA","covered",7132363.636,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2014,1.428571429
66,"sell","apartment","bangalore","East Bangalore","marathalli",12.94913054,77.74051013,1000,947,"2","2","1","NA","NA","NA","NA","covered",7231636.364,"ready_to_move","resale","yes","yes","both","north","west","vitrified_tiles","semi",2015,0
67,"sell","independent_house","bangalore","East Bangalore","marathalli",12.9537716,77.70462234,1100,1100,"NA","NA","NA","1","0","1","0","covered",6416666.667,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2007,8.571428571
68,"sell","independent_house","bangalore","East Bangalore","marathalli",12.95132293,77.73982595,1200,3600,"NA","NA","NA","3","1","1","1","covered",2.1e+07,"ready_to_move","new","yes","yes","both","west","south","marble","semi",2008,0
69,"sell","independent_house","bangalore","East Bangalore","marathalli",12.96486193,77.71577197,1000,1000,"NA","NA","NA","1","0","1","0","covered",5833333.333,"ready_to_move","new","yes","yes","both","north","north","vitrified_tiles","semi",2012,7.857142857
70,"sell","independent_house","bangalore","East Bangalore","marathalli",12.96937991,77.7042427,1000,3000,"NA","NA","NA","3","1","1","1","covered",17500000,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2012,6.428571429
71,"sell","independent_house","bangalore","East Bangalore","marathalli",12.95749804,77.72073457,500,500,"NA","NA","NA","1","1","0","0","covered",2916666.667,"ready_to_move","resale","yes","yes","both","west","west","marble","semi",2012,8.571428571
72,"sell","independent_house","bangalore","East Bangalore","marathalli",12.95759012,77.737251,1200,3600,"NA","NA","NA","3","1","1","1","covered",2.1e+07,"ready_to_move","resale","yes","yes","both","north","south","vitrified_tiles","semi",2009,5
73,"sell","apartment","bangalore","South Bangalore","btmlayout",12.90490437,77.60578579,1800,1737,"3","1","2","NA","NA","NA","NA","covered",12790636.36,"ready_to_move","resale","yes","yes","both","south","south","vitrified_tiles","semi",2010,8.571428571
74,"sell","apartment","bangalore","South Bangalore","btmlayout",12.9240787,77.6046176,1200,1145,"2","2","1","NA","NA","NA","NA","open",8431363.636,"ready_to_move","resale","no","yes","both","east","east","vitrified_tiles","semi",2011,7.142857143
75,"sell","apartment","bangalore","South Bangalore","btmlayout",12.90957369,77.6046258,500,425,"1","1","1","NA","NA","NA","NA","covered",3129545.455,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2012,8.571428571
76,"sell","apartment","bangalore","South Bangalore","btmlayout",12.91943214,77.60917291,600,544,"1","1","1","NA","NA","NA","NA","covered",4005818.182,"ready_to_move","resale","yes","yes","both","south","north","marble","semi",2014,8.571428571
77,"sell","apartment","bangalore","South Bangalore","btmlayout",12.90717231,77.60261241,1000,949,"2","2","1","NA","NA","NA","NA","open",6988090.909,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2008,8.571428571
78,"sell","apartment","bangalore","South Bangalore","btmlayout",12.91715209,77.6087555,1200,1125,"2","2","1","NA","NA","NA","NA","covered",8284090.909,"ready_to_move","new","yes","yes","both","west","north","vitrified_tiles","semi",2008,8.571428571
79,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.91858398,77.60957533,1000,2500,"NA","NA","NA","3","1","2","0","covered",14062500,"ready_to_move","resale","yes","yes","both","east","west","vitrified_tiles","semi",2007,8.571428571
80,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.9125661,77.60153824,1000,1000,"NA","NA","NA","1","0","1","0","open",5625000,"ready_to_move","new","yes","yes","both","west","east","vitrified_tiles","semi",2007,8.571428571
81,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.92112539,77.60149114,1200,1200,"NA","NA","NA","1","0","1","0","covered",6750000,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2008,8.571428571
82,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.91860535,77.6079771,1200,3600,"NA","NA","NA","3","1","1","1","open",20250000,"ready_to_move","resale","no","yes","both","west","east","marble","semi",2008,8.571428571
83,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.90863917,77.60358257,1200,1800,"NA","NA","NA","2","1","1","0","covered",10125000,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2007,8.571428571
84,"sell","independent_house","bangalore","South Bangalore","btmlayout",12.90767932,77.60134779,1000,2500,"NA","NA","NA","3","1","2","0","open",14062500,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2015,7.857142857
85,"sell","apartment","bangalore","South Bangalore","jpnagar",12.87768188,77.55845652,1500,1437,"3","1","2","NA","NA","NA","NA","covered",9405818.182,"ready_to_move","resale","yes","yes","both","south","east","vitrified_tiles","semi",2008,2.857142857
86,"sell","apartment","bangalore","South Bangalore","jpnagar",12.88201507,77.58596052,1200,1148,"2","2","1","NA","NA","NA","NA","covered",7514181.818,"ready_to_move","new","no","yes","both","east","east","marble","semi",2012,8.571428571
87,"sell","apartment","bangalore","South Bangalore","jpnagar",12.87370365,77.56266609,500,424,"1","1","1","NA","NA","NA","NA","covered",2775272.727,"ready_to_move","resale","yes","yes","both","north","east","marble","semi",2007,2.857142857
88,"sell","apartment","bangalore","South Bangalore","jpnagar",12.87706506,77.57505799,1200,1128,"2","2","1","NA","NA","NA","NA","covered",7383272.727,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2008,2.857142857
89,"sell","apartment","bangalore","South Bangalore","jpnagar",12.90539879,77.55972953,550,497,"1","1","1","NA","NA","NA","NA","covered",3253090.909,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2007,10
90,"sell","apartment","bangalore","South Bangalore","jpnagar",12.90688532,77.57869103,1000,921,"2","2","1","NA","NA","NA","NA","covered",6028363.636,"ready_to_move","new","yes","yes","both","west","west","marble","semi",2008,8.571428571
91,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.88263667,77.56282653,1200,2400,"NA","NA","NA","3","2","1","0","covered",1.2e+07,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2010,3.571428571
92,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.89971272,77.5927048,1200,1200,"NA","NA","NA","1","0","1","0","covered",6e+06,"ready_to_move","resale","yes","yes","both","west","north","vitrified_tiles","semi",2015,4.285714286
93,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.88088071,77.5758899,1100,3300,"NA","NA","NA","3","1","1","1","covered",16500000,"ready_to_move","resale","no","yes","both","north","east","vitrified_tiles","semi",2012,2.142857143
94,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.89619126,77.56862747,1200,3600,"NA","NA","NA","4","2","2","0","covered",1.8e+07,"ready_to_move","new","yes","yes","both","south","east","vitrified_tiles","semi",2010,6.428571429
95,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.90891809,77.58125757,1000,3000,"NA","NA","NA","3","1","1","1","open",1.5e+07,"ready_to_move","resale","yes","yes","both","east","east","marble","semi",2008,7.142857143
96,"sell","independent_house","bangalore","South Bangalore","jpnagar",12.89979585,77.57907346,1100,2750,"NA","NA","NA","3","1","2","0","covered",13750000,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2014,2.857142857
97,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.9167507,77.64395403,1100,1027,"2","2","1","NA","NA","NA","NA","covered",6722181.818,"ready_to_move","new","yes","yes","both","north","north","vitrified_tiles","semi",2012,7.857142857
98,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.91734738,77.65633528,1100,1050,"2","2","1","NA","NA","NA","NA","covered",6872727.273,"ready_to_move","resale","no","yes","both","south","north","vitrified_tiles","semi",2007,3.571428571
99,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.91648008,77.64103117,1650,1591,"3","1","2","NA","NA","NA","NA","covered",10413818.18,"ready_to_move","resale","yes","yes","both","north","south","vitrified_tiles","semi",2009,6.428571429
100,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.91711462,77.65213223,1200,1125,"2","2","1","NA","NA","NA","NA","covered",7363636.364,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2015,8.571428571
101,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.91577711,77.63260568,500,437,"1","1","1","NA","NA","NA","NA","covered",2860363.636,"ready_to_move","new","yes","yes","both","east","west","vitrified_tiles","semi",2008,10
102,"sell","apartment","bangalore","South Bangalore","hsrlayout",12.91560402,77.66007437,1650,1575,"3","1","2","NA","NA","NA","NA","open",10309090.91,"ready_to_move","resale","yes","yes","both","south","east","marble","semi",2007,0
103,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91752345,77.64193618,1000,2000,"NA","NA","NA","3","2","1","0","covered",1e+07,"ready_to_move","new","yes","yes","both","west","west","vitrified_tiles","semi",2009,5.714285714
104,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91777404,77.63913632,1200,3000,"NA","NA","NA","3","1","2","0","covered",1.5e+07,"ready_to_move","resale","no","yes","both","south","north","vitrified_tiles","semi",2007,5.714285714
105,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91719707,77.64226493,1200,2400,"NA","NA","NA","3","2","1","0","covered",1.2e+07,"ready_to_move","resale","yes","yes","both","west","west","marble","semi",2012,5.714285714
106,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91629602,77.63829752,1000,2500,"NA","NA","NA","2","0","1","1","covered",12500000,"ready_to_move","resale","yes","yes","both","north","east","vitrified_tiles","semi",2008,8.571428571
107,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91541407,77.64280858,1000,3000,"NA","NA","NA","4","2","2","0","covered",1.5e+07,"ready_to_move","resale","no","yes","both","east","east","vitrified_tiles","semi",2008,7.142857143
108,"sell","independent_house","bangalore","South Bangalore","hsrlayout",12.91825704,77.66102299,1000,1500,"NA","NA","NA","2","1","1","0","covered",7500000,"ready_to_move","new","yes","yes","both","north","south","vitrified_tiles","semi",2008,0.714285714
109,"sell","apartment","bangalore","West Bangalore","bellandur",12.93760047,77.68568891,1100,1044,"2","2","1","NA","NA","NA","NA","covered",5694545.455,"ready_to_move","resale","yes","yes","both","west","east","vitrified_tiles","semi",2007,2.857142857
110,"sell","apartment","bangalore","West Bangalore","bellandur",12.92553827,77.67588894,1200,1144,"2","2","1","NA","NA","NA","NA","open",6240000,"ready_to_move","resale","yes","yes","both","north","east","vitrified_tiles","semi",2008,8.571428571
111,"sell","apartment","bangalore","West Bangalore","bellandur",12.94190151,77.68490195,1100,1038,"2","2","1","NA","NA","NA","NA","covered",5661818.182,"ready_to_move","resale","no","yes","both","west","south","marble","semi",2014,0
112,"sell","apartment","bangalore","West Bangalore","bellandur",12.93014646,77.66253611,1800,1745,"3","1","2","NA","NA","NA","NA","covered",9518181.818,"ready_to_move","resale","yes","yes","both","north","north","vitrified_tiles","semi",2008,1.428571429
113,"sell","apartment","bangalore","West Bangalore","bellandur",12.93775977,77.68613943,1100,1021,"2","2","1","NA","NA","NA","NA","open",5569090.909,"ready_to_move","new","yes","yes","both","south","west","vitrified_tiles","semi",2012,2.857142857
114,"sell","apartment","bangalore","West Bangalore","bellandur",12.91832696,77.66600069,1200,1127,"2","2","1","NA","NA","NA","NA","covered",6147272.727,"ready_to_move","resale","no","yes","both","south","east","marble","semi",2008,5.714285714
115,"sell","independent_house","bangalore","West Bangalore","bellandur",12.93667169,77.67100839,1200,3600,"NA","NA","NA","3","1","1","1","covered",1.5e+07,"ready_to_move","new","yes","yes","both","north","south","vitrified_tiles","semi",2008,0
116,"sell","independent_house","bangalore","West Bangalore","bellandur",12.93203896,77.67675401,1200,3000,"NA","NA","NA","3","1","2","0","covered",12500000,"ready_to_move","resale","yes","yes","both","east","east","vitrified_tiles","semi",2012,3.571428571
117,"sell","independent_house","bangalore","West Bangalore","bellandur",12.93267975,77.68246875,1100,1650,"NA","NA","NA","2","1","1","0","covered",6875000,"ready_to_move","resale","yes","yes","both","west","north","marble","semi",2013,5
118,"sell","independent_house","bangalore","West Bangalore","bellandur",12.92303592,77.68387072,600,1200,"NA","NA","NA","2","2","0","0","covered",5e+06,"ready_to_move","new","yes","yes","both","east","east","vitrified_tiles","semi",2011,2.857142857
119,"sell","independent_house","bangalore","West Bangalore","bellandur",12.91990451,77.68423913,1200,3600,"NA","NA","NA","3","1","1","1","covered",1.5e+07,"ready_to_move","resale","no","yes","both","south","east","vitrified_tiles","semi",2008,2.857142857
120,"sell","independent_house","bangalore","West Bangalore","bellandur",12.92566409,77.68605728,550,550,"NA","NA","NA","1","1","0","0","open",2291666.667,"ready_to_move","resale","yes","yes","both","south","west","vitrified_tiles","semi",2010,3.571428571
